id;name;num_screens;num_seats;insee;commune;genre;art_et_essai;3D_screen
277721;CINELOISIRS;1;441;40197;Morcenx;FIXE;1;1
280894;CINE M;2;238;64410;Mourenx;FIXE;1;1
282411;ENTRACTE;1;192;40201;Mugron;FIXE;1;1
282999;BERTRAND TAVERNIER;1;94;12164;Mur-de-Barrez;FIXE;1;0
283105;VEO - GRAND - MERMOZ;8;1_041;31395;Muret;FIXE;1;0
283412;SALLE NOTRE DAME;1;141;24299;Mussidan;FIXE;1;1
286912;LE MARGOT;1;236;47195;Nérac;FIXE;1;0
288571;LE PARADISIO;1;144;19148;Neuvic;FIXE;1;1
288922;LE MAJESTIC;1;134;86177;Neuville-de-Poitou;FIXE;1;1
291114;LE STUDIO;2;893;79191;Niort;FIXE;1;0
291144;MEGA CGR;12;2_052;79191;Niort;FIXE;0;1
291731;NOGARO CINE;1;296;32296;Nogaro;FIXE;1;1
292231;MIMOSA;2;500;85163;Noirmoutier-en-l'Île;FIXE;1;1
292782;CINEMA L1S DELLUC;1;169;24311;0tron;FIXE;1;1
293531;LES YOLES SALLE STE THERESE;1;400;85164;Notre-Dame-de-Monts;FIXE;0;0
297122;LUXOR;3;429;64422;Oloron-Sainte-Marie;FIXE;1;1
299685;LE PIXEL;2;299;64430;Orthez;FIXE;1;1
302933;REX;2;275;09225;Pamiers;FIXE;0;1
303803;CIRCUIT DES PINS;1;;40217;Parentis-en-Born;ITINERANT;0;0
304442;CINEMA FAMILIAL LE FOYER;2;356;79202;Parthenay;FIXE;1;1
305014;LE MELIES;2;412;64445;Pau;FIXE;1;0
305031;CGR SAINT L1S;7;1_148;64445;Pau;FIXE;0;1
305041;MEGA CGR;12;2_570;64445;Pau;FIXE;0;1
305101;EDEN;1;283;33314;Pauillac;FIXE;1;1
307135;CGR PERIGUEUX;10;1_864;24322;Périgueux;FIXE;1;1
308361;J.EUSTACHE;5;767;33318;Pessac;FIXE;1;1
309331;LE CLUB;1;200;87117;Peyrat-le-Château;FIXE;0;1
309443;LA LUTZ;1;199;40224;Peyrehorade;FIXE;1;0
310180;MEGARAMA PIAN MEDOC;6;1_084;33322;Le Pian-Médoc;FIXE;0;1
312973;L EUROPE;1;181;32319;Plaisance;FIXE;1;1
312981;CINE PLAISANCE;3;537;31424;Plaisance-du-Touch;FIXE;0;1
317345;TAP CASTILLE;3;459;86194;Poitiers;FIXE;1;1
317384;LE DIETRICH;1;141;86194;Poitiers;FIXE;1;0
317394;CGR CASTILLE;5;719;86194;Poitiers;FIXE;0;1
318483;LE VAUBAN;2;234;17283;Pons;FIXE;1;1
320561;GRAND ECRAN;1;220;40230;Pontonx-sur-l'Adour;FIXE;1;0
321121;CAMPING MUNICIPAL;1;150;33333;Le Porge;ITINERANT;1;1
322592;SALLE DE CINEMA;1;0;40233;P1llon;ITINERANT;1;0
323493;L'ECHIQUIER;1;154;85182;Pouzauges;FIXE;1;1
324302;CINEMA L1S MALLE;1;250;46225;Prayssac;FIXE;1;0
330574;LA HALLE;1;99;81220;Rabastens;FIXE;1;1
331401;L AUTAN;1;201;31446;Ramonville-Saint-Agne;FIXE;1;1
335303;REX;1;249;33352;La Réole;FIXE;1;1
335473;LA MAISON POUR TOUS;1;88;12197;Réquista;FIXE;0;1
336023;CINE GET;1;193;31451;Revel;FIXE;1;1
336801;MAX LINDER;1;314;24352;Ribérac;FIXE;1;1
337353;SALLE DE CINEMA ET DE SPECTACLES VIVANTS;1;239;12198;Rieupeyroux;FIXE;1;1
338172;CINEMA Z;1;64;40243;Rion-des-Landes;FIXE;1;1
339491;LE CLUB;1;161;24354;La Roche-Chalais;FIXE;1;1
339664;APOLLO CINE;8;1_310;17299;Rochefort;FIXE;1;1
339713;LA HALLE AUX GRAINS;1;130;16281;La Rochefoucauld;FIXE;1;0
339851;CGR OLYMPIA;3;777;17300;La Rochelle;FIXE;1;1
339852;LA COURSIVE;2;1_280;17300;La Rochelle;FIXE;1;1
339871;CGR DRAGON;6;1_024;17300;La Rochelle;FIXE;0;1
339911;MEGA CGR;12;2_421;17300;La Rochelle;FIXE;0;1
340043;LE KERLOUET;1;233;86207;La Roche-Posay;FIXE;1;0
340411;SALLE DU CHATEAU;1;50;16282;La Rochette;ITINERANT;1;0
340874;CGR RODEZ;10;1_603;12202;Rodez;FIXE;1;1
343010;LE MOULIN DE ROQUES;1;230;31458;Roques;FIXE;0;0
346502;LIDO;6;1_076;17306;Royan;FIXE;0;0
347302;FAMILY;2;271;16292;Ruffec;FIXE;1;1
348296;LE GRAND PALACE;5;798;85194;Les Sables-d'Olonne;FIXE;0;1
348442;L ESTRADE;1;103;40246;Sabres;FIXE;1;0
349492;GALLIA;2;520;17415;Saintes;FIXE;1;1
349524;ATLANTIC CINE;8;1_256;17415;Saintes;FIXE;0;0
350169;LE SALEYS;1;138;64499;Salies-de-Béarn;FIXE;1;1
350641;LE 7 ÈME ART;1;162;33498;Salles;FIXE;1;0
351333;CINEMA DE SAMATAN;1;187;32410;Samatan;FIXE;1;1
352923;REX;6;979;24520;Sarlat-la-Canéda;FIXE;1;1
355993;CENTRE MULTIMEDIA;1;189;09282;Saverdun;FIXE;1;1
365721;REX;1;390;40304;Soorts-Hossegor;FIXE;1;1
